trip_id,rider_id,driver_id,pickup_location,drop_location,city,distance_km,surge_multiplier,base_fare,fare_amount,trip_status,requested_at,accepted_at,completed_at,cancelled_at
1,65,23.0,"91 Street, MG Road","141 Main Rd, Powai",Delhi,12.58,1.0,179.84,75.0,CANCELLED,2025-06-24 17:05:06,,,2025-06-24 17:07:06
2,9,4.0,"64 Main Rd, Aundh","164 Main Rd, Viman Nagar",Ahmedabad,17.6,1.5,66.27,337.9,COMPLETED,2024-12-29 13:41:23,2024-12-29 13:49:23,2024-12-29 14:52:23,
3,13,41.0,"154 Layout, HSR","110 Street, Gachibowli",Bengaluru,15.65,1.2,134.73,428.11,COMPLETED,2025-05-27 16:41:49,2025-05-27 16:46:49,2025-05-27 17:54:49,
4,44,49.0,"110 Cross, Salt Lake","27 Main Rd, Powai",Kolkata,15.6,1.2,83.95,0.0,ACCEPTED,2024-04-05 17:05:43,2024-04-05 17:11:43,,
5,7,9.0,"42 Main Rd, MG Road","147 Cross, Viman Nagar",Mumbai,16.48,1.0,142.25,367.48,COMPLETED,2024-03-16 00:47:27,2024-03-16 00:52:27,2024-03-16 02:01:27,
6,44,65.0,"184 Layout, HSR","148 Cross, Indiranagar",Kolkata,4.95,1.2,157.51,240.59,COMPLETED,2025-09-28 23:52:09,2025-09-28 23:56:09,2025-09-29 00:15:09,
7,16,14.0,"49 Main Rd, Salt Lake","72 Main Rd, Gachibowli",Kolkata,22.2,1.0,66.72,460.53,COMPLETED,2024-09-15 18:43:29,2024-09-15 18:45:29,2024-09-15 19:49:29,
8,21,66.0,"230 Main Rd, MG Road","176 Street, Powai",Mumbai,5.57,1.5,103.85,199.15,COMPLETED,2024-04-10 03:30:09,2024-04-10 03:34:09,2024-04-10 03:51:09,
9,22,4.0,"199 Cross, MG Road","10 Main Rd, Gachibowli",Ahmedabad,8.99,1.0,77.47,208.53,COMPLETED,2024-02-25 11:01:00,2024-02-25 11:04:00,2024-02-25 11:43:00,
10,65,56.0,"8 Main Rd, Adyar","174 Layout, Connaught Place",Delhi,8.23,1.0,111.19,0.0,ACCEPTED,2025-05-31 08:06:34,2025-05-31 08:13:34,,
11,61,,"50 Cross, HSR","138 Cross, Gachibowli",Kolkata,3.58,1.2,77.53,0.0,CANCELLED,2025-02-12 23:43:16,,,2025-02-13 00:01:16
12,13,41.0,"53 Street, Adyar","168 Main Rd, Gachibowli",Bengaluru,18.73,1.2,75.25,415.65,COMPLETED,2025-10-14 23:41:59,2025-10-14 23:43:59,2025-10-15 00:07:59,
13,67,57.0,"181 Cross, Bandra","14 Cross, Viman Nagar",Ahmedabad,9.09,1.2,150.04,346.22,COMPLETED,2024-02-22 16:00:57,2024-02-22 16:01:57,2024-02-22 16:25:57,
14,51,66.0,"100 Main Rd, Salt Lake","11 Main Rd, Indiranagar",Mumbai,12.7,1.5,112.87,387.37,COMPLETED,2024-07-22 17:15:54,2024-07-22 17:16:54,2024-07-22 18:20:54,
15,48,48.0,"140 Cross, HSR","148 Street, Powai",Ahmedabad,10.01,1.0,95.8,258.92,COMPLETED,2024-11-10 19:07:18,2024-11-10 19:11:18,2024-11-10 19:59:18,
16,13,39.0,"104 Cross, Adyar","76 Street, Indiranagar",Bengaluru,5.29,1.5,132.15,0.0,ONGOING,2024-08-18 17:53:19,2024-08-18 17:54:19,,
17,65,,"179 Main Rd, MG Road","91 Street, Powai",Delhi,7.92,1.2,93.97,0.0,CANCELLED,2025-07-06 21:50:13,,,2025-07-06 21:56:13
